start,end,video,start_time,duration,size,bitrate,frames,width,heigth,rtt_min, rtt_avg, rtt_max, pacotes_transmitidos, pacotes_recebidos, pacotes_perdidos, ttl,qoe_value
2024-05-03 10:13:01.426375,2024-05-03 10:13:03.354269,video_13.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,8.822,10.437,14.067,4,4,0,37,3.769697826137845
2024-05-03 10:13:07.389544,2024-05-03 10:13:08.578688,video_14.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.724,51.478,164.535,4,4,0,37,3.769697826137845
2024-05-03 10:13:12.627007,2024-05-03 10:13:14.589506,video_15.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,8.625,49.398,162.615,4,4,0,37,3.769697826137845
2024-05-03 10:14:18.728206,2024-05-03 10:14:21.195416,video_16.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,10.534,12.075,13.403,4,4,0,37,3.769697826137845
2024-05-03 10:14:25.303718,2024-05-03 10:14:26.839729,video_17.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.311,13.071,16.654,4,4,0,37,3.769697826137845
2024-05-03 10:14:30.927630,2024-05-03 10:14:32.071159,video_18.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.401,13.411,19.958,4,4,0,37,3.769697826137845
2024-05-03 10:15:36.238129,2024-05-03 10:15:38.790631,video_19.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,11.422,11.928,13.017,4,4,0,37,3.769697826137845
2024-05-03 10:15:42.823491,2024-05-03 10:15:44.026951,video_20.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,10.633,12.101,15.297,4,4,0,37,3.769697826137845
2024-05-03 10:15:48.074649,2024-05-03 10:15:49.223185,video_21.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.210,11.950,13.038,4,4,0,37,3.769697826137845
2024-05-03 10:16:53.299877,2024-05-03 10:16:55.076248,video_22.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,10.326,12.062,13.745,4,4,0,37,3.769697826137845
2024-05-03 10:16:59.112297,2024-05-03 10:17:00.197316,video_23.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.440,12.660,17.814,4,4,0,37,3.769697826137845
2024-05-03 10:17:04.241806,2024-05-03 10:17:05.359017,video_24.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,8.026,31.161,86.996,4,4,0,37,3.769697826137845
2024-05-03 10:18:09.606933,2024-05-03 10:18:10.785197,video_25.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,10.843,16.197,28.394,4,4,0,37,3.769697826137845
2024-05-03 10:18:14.973415,2024-05-03 10:18:16.897430,video_26.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,8.978,15.477,22.701,4,4,0,37,3.769697826137845
2024-05-03 10:18:20.960850,2024-05-03 10:18:22.592870,video_27.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,10.826,12.444,14.750,4,4,0,37,3.769697826137845
2024-05-03 10:19:26.799332,2024-05-03 10:19:27.863246,video_28.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,11.436,12.661,13.946,4,4,0,37,3.769697826137845
2024-05-03 10:19:31.943526,2024-05-03 10:19:33.118702,video_29.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,9.201,11.571,13.204,4,4,0,37,3.769697826137845
2024-05-03 10:19:37.180157,2024-05-03 10:19:38.445703,video_30.mp4,0.000000,20.054000,4015149,1601734,1420,1280,720,8.048,11.477,14.926,4,4,0,37,3.769697826137845
